m08_W/R,m08_li,m08_lee,m08_R/R0,m08_Leff
1e-15,5.5,0.001,1.070303429716589,5.138729679168058
1e-15,5.5,0.0033,1.122359512326757,4.900390596412358
1e-15,5.5,0.01,1.1994849558912368,4.585301360377138
1e-15,5.5,0.033,1.3184885593780542,4.171443097386003
1e-15,5.5,0.1,1.4333040190781516,3.8372877817906335
1e-15,5.5,0.333,1.5010679997417926,3.664057858102422
1e-15,5.5,1.0,1.4955736230206493,3.67751872281052
1e-15,5.5,3.33,1.4421928456093254,3.8136370019754566
1e-15,5.5,10.0,1.3931313966028684,3.94794059872003
1e-15,5.5,33.3,1.363822484346099,4.032782904761275
1e-15,5.5,100.0,1.3533060191338921,4.064121434647847
