my_project_W/R,my_project_li,my_project_lee,my_project_R/R0,my_project_Leff
0.75,3,1000000000,2.930713222680527,1.0236416094155065
1e-08,3,1000000000,2.360357013620665,1.2709941685466284
0.5,3,1000000000,2.790391083458743,1.075118114368916
0.25,3,1000000000,2.615793307217897,1.1468796069329872
1,3,1000000000,3.0439458278948863,0.9855628745123634
2,3,1000000000,2.8381258072100723,1.0570355945387258
1.5,3,1000000000,3.1701630678350243,0.9463235599576798
2.25,3,1000000000,2.150969636098769,1.3947198275848858
1.25,3,1000000000,3.129009905198339,0.95876973576082
2.3,3,1000000000,1.943240917240372,1.54381269629725
1.75,3,1000000000,3.1093436190828325,0.964833858049087
