raph08_W/R,raph08_li,raph08_lee,raph08_R/R0,raph08_Leff
1e-15,20.0,100,2.081391341636842,9.60895704710276
1e-15,15.192103211866355,57.7,1.9483503998474185,7.7974183766206
1e-15,8.729261137118078,19.05,1.716721060073978,5.08484537187533
1e-15,11.541230437002806,33.3,1.8279884608301942,6.3136232445150515
1e-15,4.804164859785725,5.77,1.508172786084826,3.1854207317035614
1e-15,6.324555320336759,10,1.5998011989525371,3.9533382800798837
1e-15,3.6496575181789317,3.33,1.4231924647875518,2.564415993253405
1e-15,2.7712812921102037,1.92,1.344592137883245,2.0610571890394636
1e-15,1.5192103211866355,0.577,1.1993487160171286,1.2666960833807561
1e-15,2.0,1,1.2607982522508572,1.5862966152034814
1e-15,0.8717797887081347,0.19,1.106121616339321,0.788140992663416
1e-15,1.1541230437002807,0.333,1.147734786574541,1.0055659697697286
1e-15,0.6324555320336759,0.1,1.0716360951355424,0.59017751912666
1e-15,1.5192103211866355,0.577,1.1993487160171286,1.2666960833807561
1e-15,0.363318042491699,0.033,1.0359570608338606,0.35070762701231817
1e-15,0.27568097504180444,0.019,1.0253236169553428,0.26887215946554316
1e-15,0.150996688705415,0.0057,1.011454404679634,0.1492866984481039
1e-15,0.2,0.01,1.0166787995406088,0.19671896383633747
1e-15,0.08717797887081347,0.0019,1.0054415310791045,0.08670616458149333
1e-15,0.11489125293076058,0.0033,1.0078952106301509,0.11399126786100003
